,first_air_date,genre_ids,id,name,origin_country,original_language,original_name,overview,popularity,vote_average,vote_count,year,cleaned_name
0,2021-09-10,"[16, 18, 10765]",120471,The Ancient Magus' Bride: The Boy From the West and the Knight of the Mountain Haze,['JP'],ja,魔法使いの嫁  西の少年と青嵐の騎士,"Gabriel, an ordinary boy who just moved from London, was bored with his surrounding, until one day, he saw a wisp of purple smoke from the window of his house. At that time, he hurriedly chased the smoke, looking for any kind of freedom and fun. Though they should not, the world of boys and wizards soon intersect…",1.276,0.0,0,2021.0,魔法使いの嫁西の少年と青嵐の騎士
5,2021-05-01,"[10765, 16, 18]",92584,Eden,['JP'],ja,エデン,"Thousands of years in the future, a city known as ""Eden 3"" is inhabited solely by robots whose former masters vanished a long time ago. On a routine assignment, two farming robots accidentally awaken a human baby girl from stasis questioning all they were taught to believe -- that humans were nothing more than a forbidden ancient myth. Together, the two robots secretly raise the child in a safe haven outside Eden.",1.96,0.0,0,2021.0,エデン
7,2021-04-15,"[16, 18, 10759]",112615,Cestvs: The Roman Fighter,['JP'],ja,セスタス -The Roman Fighter-,,8.375,0.0,0,2021.0,セスタスtheromanfighter
8,2021-04-14,"[16, 35]",110975,The Romcom Where the Childhood Friend Won't Lose!,['JP'],ja,幼なじみが絶対に負けないラブコメ,"My childhood friend Shida Kuroha seems to have feelings for me. She lives next door, and is small and cute. With an outgoing character, she's the caring Onee-san type, this being one of her greatest strengths.

...But, I already have my first love, the beautiful idol of our school, and the award-winning author, Kachi Shirokusa! Thinking about it rationally, I should have no chances with her, but, while walking home from school, she only talks to me, with a smile even! I might actually have a chance, don't you think?!

Or so I thought, but then I heard that Shirokusa already has a boyfriend, and my life took a turn for the worse. I want to die. Why is it not me?! Even though she was my first love... As I was drowning in despair and depression, Kuroha whispered.

—If it's that tough for you, then how about we get revenge? The best revenge ever, that is~",16.435,0.0,0,2021.0,幼なじみが絶対に負けないラブコメ
9,2021-04-12,"[16, 18, 10759, 10765]",97525,To Your Eternity,['JP'],ja,不滅のあなたへ,"An immortal being was sent to the surface of the earth and met a boy living alone in the middle of tundra. The being can take the shape of dying things, but only if the ""impetus"" is stronger than the previous one. What sort of experiences and meetings will the being encounter while living forever?",12.725,0.0,0,2021.0,不滅のあなたへ
10,2021-04-11,"[16, 35, 9648]",113042,Pretty Boy Detective Club,['JP'],ja,美少年探偵団,,2.06,0.0,0,2021.0,美少年探偵団
11,2021-04-11,"[16, 9648]",111576,Shadows House,['JP'],ja,シャドーハウス,,19.494,0.0,0,2021.0,シャドーハウス
12,2021-04-11,"[16, 35]",105556,"Don't Toy With Me, Miss Nagatoro",['JP'],ja,イジらないで、長瀞さん,"Mischievous Nagatoro-san always bugs Senpai to get a reaction out of him.

What is her motivation? Does she just want to create misery for Senpai?

Or maybe she secretly likes him?",12.401,0.0,0,2021.0,イジらないで長瀞さん
13,2021-04-11,"[16, 18, 10759]",105009,Tokyo Revengers,['JP'],ja,東京リベンジャーズ,"Watching the news, Hanagaki Takemichi learns that his girlfriend from way back in middle school, Tachibana Hinata, has died. The only girlfriend he ever had was just killed by a villainous group known as the Tokyo Manji Gang. He lives in a crappy apartment with thin walls, and his six-years-younger boss treats him like an idiot. Plus, he's a complete and total virgin... At the height of his rock-bottom life, he suddenly time-leaps twelve years back to his middle school days!! To save Hinata, and change the life he spent running away, hopeless part-timer Takemichi must aim for the top of Kanto's most sinister delinquent gang!!",22.534,0.0,0,2021.0,東京リベンジャーズ
14,2021-04-11,"[16, 35, 10759, 10765]",104711,Edens Zero,['JP'],ja,エデンズ ゼロ,,31.853,0.0,0,2021.0,エデンズゼロ
15,2021-04-11,"[16, 18, 10759, 10765]",100565,86,['JP'],ja,86―エイティシックス―,"The Republic of San Magnolia has been attacked by its neighbor, the Empire. Outside the 85 districts of the Republic there is the ‘non-existent 86th district,’ where young men and women continue to fight. Sheen directs the actions of young suicide bombers, while Lena is a ‘curator’ who commands a detachment from a remote rear. The story of the tragic struggle between these two begins!",2.137,0.0,0,2021.0,86エイティシックス
16,2021-04-10,"[16, 35]",117786,Yuuki Yuuna wa Yuusha de Aru Churutto!,['JP'],ja,結城友奈は勇者である ちゅるっと！,,2.146,0.0,0,2021.0,結城友奈は勇者であるちゅるっと
17,2021-04-10,"[16, 35, 10759, 10765]",108460,Battle Athletess Daiundoukai ReSTART!,['JP'],ja,バトルアスリーテス 大運動会ReSTART!,,1.928,0.0,0,2021.0,バトルアスリーテス大運動会restart
18,2021-04-10,"[16, 18, 9648, 10759]",105249,The World Ends with You: The Animation,['JP'],ja,すばらしきこのせかい The Animation,,2.908,0.0,0,2021.0,すばらしきこのせかいtheanimation
